curr_SRX,sex,simplified_tissue,broad_tissue,simpled_dev,broad_stage
SRX485404,male,abdomen,abdomen,a1,adult
SRX485414,male,abdomen,abdomen,a1,adult
SRX485428,male,abdomen,abdomen,a1,adult
SRX485410,male,abdomen,abdomen,a3,adult
SRX485424,male,abdomen,abdomen,a3,adult
SRX485406,male,abdomen,abdomen,a2,adult
SRX485426,male,abdomen,abdomen,a1,adult
SRX485422,male,abdomen,abdomen,a3,adult
SRX485436,male,abdomen,abdomen,a3,adult
SRX485418,male,abdomen,abdomen,a2,adult
SRX485430,male,abdomen,abdomen,a2,adult
SRX2754617,mixed,abdomen,abdomen,l3,larva
SRX485420,male,abdomen,abdomen,a2,adult
SRX2754619,mixed,abdomen,abdomen,l3,larva
SRX485408,male,abdomen,abdomen,a2,adult
SRX485434,male,abdomen,abdomen,a3,adult
SRX2754618,mixed,abdomen,abdomen,l3,larva
SRX485432,male,abdomen,abdomen,a2,adult
SRX2276830,female,abdomen minus digestive system and reproductive system,tissue carcass,a10,adult
SRX2877970,female,abdomen minus digestive system and reproductive system,tissue carcass,a,adult
SRX2276831,female,abdomen minus digestive system and reproductive system,tissue carcass,a10,adult
SRX2877973,male,abdomen minus digestive system and reproductive system,tissue carcass,a,adult
SRX2276829,female,abdomen minus digestive system and reproductive system,tissue carcass,a10,adult
SRX2877971,female,abdomen minus digestive system and reproductive system,tissue carcass,a,adult
SRX2877969,female,abdomen minus digestive system and reproductive system,tissue carcass,a,adult
SRX2877972,male,abdomen minus digestive system and reproductive system,tissue carcass,a,adult
SRX2877974,male,abdomen minus digestive system and reproductive system,tissue carcass,a,adult
SRX109280,male,accessory gland,accessory gland,a4,adult
SRX494087,male,accessory gland,accessory gland,a4,adult
ERX2252500,male,accessory gland,accessory gland,a,adult
SRX109256,male,accessory gland,accessory gland,a4,adult
SRX493995,male,accessory gland,accessory gland,a4,adult
ERX2252499,male,accessory gland,accessory gland,a,adult
SRX142923,male,accessory gland,accessory gland,a4,adult
ERX2252501,male,accessory gland,accessory gland,a,adult
SRX384580,unknown,activated egg,egg,activated egg,egg
SRX384571,unknown,activated egg,egg,activated egg,egg
SRX384551,female,activated egg,egg,activated egg,egg
SRX384575,unknown,activated egg,egg,activated egg,egg
SRX384564,female,activated egg,egg,activated egg,egg
SRX384560,female,activated egg,egg,activated egg,egg
SRX384581,unknown,activated egg,egg,activated egg,egg
SRX384574,unknown,activated egg,egg,activated egg,egg
SRX384556,female,activated egg,egg,activated egg,egg
SRX384558,female,activated egg,egg,activated egg,egg
SRX1870190,unknown,activated egg,egg,activated egg,egg
SRX384550,female,activated egg,egg,activated egg,egg
SRX1870191,unknown,activated egg,egg,activated egg,egg
SRX384572,unknown,activated egg,egg,activated egg,egg
SRX384563,female,activated egg,egg,activated egg,egg
SRX384569,female,activated egg,egg,activated egg,egg
SRX384578,unknown,activated egg,egg,activated egg,egg
SRX384562,female,activated egg,egg,activated egg,egg
SRX384557,female,activated egg,egg,activated egg,egg
SRX384553,female,activated egg,egg,activated egg,egg
SRX384568,female,activated egg,egg,activated egg,egg
SRX384577,unknown,activated egg,egg,activated egg,egg
SRX384566,female,activated egg,egg,activated egg,egg
SRX384554,female,activated egg,egg,activated egg,egg
