"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"DRX014765","DRX014765","DRX014765","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014766","DRX014766","DRX014766","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014767","DRX014767","DRX014767","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014768","DRX014768","DRX014768","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014769","DRX014769","DRX014769","female","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014770","DRX014770","DRX014770","female","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014771","DRX014771","DRX014771","male","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014772","DRX014772","DRX014772","male","whole body","whole body","pu","pupae","DRP001802",NA
"DRX014773","DRX014773","DRX014773","female","whole body","whole body","a4","adult","DRP001802",NA
"DRX014774","DRX014774","DRX014774","female","whole body","whole body","a4","adult","DRP001802",NA
"DRX014775","DRX014775","DRX014775","male","whole body","whole body","a4","adult","DRP001802",NA
"DRX014776","DRX014776","DRX014776","male","whole body","whole body","a4","adult","DRP001802",NA
"DRX014777","DRX014777","DRX014777","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014778","DRX014778","DRX014778","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014779","DRX014779","DRX014779","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014780","DRX014780","DRX014780","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014781","DRX014781","DRX014781","female","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014782","DRX014782","DRX014782","female","whole body","whole body","pu","pupae","DRP001802",NA
"DRX014783","DRX014783","DRX014783","male","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014784","DRX014784","DRX014784","male","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014785","DRX014785","DRX014785","female","whole body","whole body","a4","adult","DRP001802",NA
"DRX014786","DRX014786","DRX014786","female","whole body","whole body","a4","adult","DRP001802",NA
"DRX014787","DRX014787","DRX014787","male","whole body","whole body","a4","adult","DRP001802",NA
"DRX014788","DRX014788","DRX014788","male","whole body","whole body","a4","adult","DRP001802",NA
"DRX014789","DRX014789","DRX014789","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014790","DRX014790","DRX014790","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014791","DRX014791","DRX014791","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014792","DRX014792","DRX014792","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014793","DRX014793","DRX014793","female","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014794","DRX014794","DRX014794","female","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014795","DRX014795","DRX014795","male","whole body","whole body","pu","pupae","DRP001802",NA
"DRX014796","DRX014796","DRX014796","male","whole body","whole body","pu8","pupae","DRP001802",NA
"DRX014797","DRX014797","DRX014797","female","whole body","whole body","a4","adult","DRP001802",NA
"DRX014798","DRX014798","DRX014798","female","whole body","whole body","a","adult","DRP001802",NA
"DRX014799","DRX014799","DRX014799","male","whole body","whole body","a4","adult","DRP001802",NA
"DRX014800","DRX014800","DRX014800","male","whole body","whole body","a4","adult","DRP001802",NA
"DRX014801","DRX014801","DRX014801","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014802","DRX014802","DRX014802","female","whole body","whole body","l3","larva","DRP001802",NA
"DRX014803","DRX014803","DRX014803","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014804","DRX014804","DRX014804","male","whole body","whole body","l3","larva","DRP001802",NA
"DRX014805","DRX014805","DRX014805","female","whole body","whole body","pu8","pupae","DRP001802",NA
